what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367409922028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367409922028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367409923356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367409923356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367409924340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367409924340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410382784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410382784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410389877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410389877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410461003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410461003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410462722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410462722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410762788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410762788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410764351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410764351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410765367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410765367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410765867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410765867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410766101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367410766101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367412837738
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1367413335366
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1367413335366
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1367413335366
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1367413335366
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1367413335366
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1367413335366
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1367413335366
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1367413335366
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1367413335366
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1367413335366
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1367413335366
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1367413335366
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1367413335366
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1367413335366
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1367413335366
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1367413335366
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1367413335366
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1367413335366
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1367413335366
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1367413335366
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1367413335366
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1367413335366
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1367413335366
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1367413335366
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1367413335366
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1367413335381
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1367413335381
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1367413335381
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1367413335381
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1367413335381
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1367413335381
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1367413335381
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1367413335381
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1367413335381
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1367413335381
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1367413335381
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1367413335381
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1367413335381
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1367413335381
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1367413335381
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1367413335381
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1367413335381
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1367413335381
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1367413335381
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1367413335381
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1367413335381
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1367413335381
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1367413335381
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1367413335381
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1367413335381
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1367413335381
